Indicator,Country,Date,value
"Cumulative number of suspected Ebola cases","United Kingdom",2015-03-18,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United Kingdom",2015-03-18,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United Kingdom",2015-03-18,1.0
"Cumulative number of confirmed Ebola cases",Mali,2015-03-18,7.0
"Cumulative number of probable Ebola cases",Mali,2015-03-18,1.0
"Cumulative number of suspected Ebola cases",Mali,2015-03-18,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-03-18,6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-03-18,8.0
"Cumulative number of confirmed Ebola cases",Nigeria,2015-03-18,19.0
"Cumulative number of probable Ebola cases",Nigeria,2015-03-18,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2015-03-18,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-03-18,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2015-03-18,1.0
"Cumulative number of probable Ebola cases",Senegal,2015-03-18,0.0
"Cumulative number of suspected Ebola cases",Senegal,2015-03-18,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-18,1.0
"Cumulative number of confirmed Ebola cases",Spain,2015-03-18,1.0
"Cumulative number of probable Ebola cases",Spain,2015-03-18,0.0
"Cumulative number of suspected Ebola cases",Spain,2015-03-18,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-03-18,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2015-03-18,4.0
"Cumulative number of probable Ebola cases","United States of America",2015-03-18,0.0
"Cumulative number of suspected Ebola cases","United States of America",2015-03-18,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2015-03-18,4.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2015-03-18,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2015-03-18,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2015-03-18,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-03-18,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2015-03-18,0.0
"Cumulative number of probable Ebola deaths",Senegal,2015-03-18,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2015-03-18,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-03-18,0.0
"Cumulative number of confirmed Ebola deaths",Spain,2015-03-18,0.0
"Cumulative number of probable Ebola deaths",Spain,2015-03-18,0.0
"Cumulative number of suspected Ebola deaths",Spain,2015-03-18,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-03-18,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2015-03-18,1.0
"Cumulative number of probable Ebola deaths","United States of America",2015-03-18,0.0
"Cumulative number of suspected Ebola deaths","United States of America",2015-03-18,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2015-03-18,1.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-20,3404.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-03-20,2988.0
"Cumulative number of probable Ebola cases",Guinea,2015-03-20,395.0
"Cumulative number of suspected Ebola cases",Guinea,2015-03-20,21.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-03-20,2241.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-03-20,1846.0
"Cumulative number of probable Ebola deaths",Guinea,2015-03-20,395.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-03-20,9555.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-03-20,3150.0
"Cumulative number of probable Ebola cases",Liberia,2015-03-20,1879.0
"Cumulative number of suspected Ebola cases",Liberia,2015-03-20,4526.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-03-20,4283.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-03-20,11794.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-03-20,8508.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-03-20,287.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-03-20,2999.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-03-20,3712.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-03-20,3346.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-03-20,208.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-03-20,158.0
"Cumulative number of confirmed Ebola cases","United Kingdom",2015-03-20,1.0
"Cumulative number of probable Ebola cases","United Kingdom",2015-03-20,0.0
"Cumulative number of suspected Ebola cases","United Kingdom",2015-03-20,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United Kingdom",2015-03-20,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United Kingdom",2015-03-20,1.0
"Cumulative number of confirmed Ebola cases",Mali,2015-03-20,7.0
"Cumulative number of probable Ebola cases",Mali,2015-03-20,1.0
"Cumulative number of suspected Ebola cases",Mali,2015-03-20,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-03-20,6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-03-20,8.0
"Cumulative number of confirmed Ebola cases",Nigeria,2015-03-20,19.0
"Cumulative number of probable Ebola cases",Nigeria,2015-03-20,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2015-03-20,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-03-20,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2015-03-20,1.0
"Cumulative number of probable Ebola cases",Senegal,2015-03-20,0.0
"Cumulative number of suspected Ebola cases",Senegal,2015-03-20,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-20,1.0
"Cumulative number of confirmed Ebola cases",Spain,2015-03-20,1.0
"Cumulative number of probable Ebola cases",Spain,2015-03-20,0.0
"Cumulative number of suspected Ebola cases",Spain,2015-03-20,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-03-20,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2015-03-20,4.0
"Cumulative number of probable Ebola cases","United States of America",2015-03-20,0.0
"Cumulative number of suspected Ebola cases","United States of America",2015-03-20,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2015-03-20,4.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2015-03-20,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2015-03-20,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2015-03-20,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-03-20,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2015-03-20,0.0
"Cumulative number of probable Ebola deaths",Senegal,2015-03-20,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2015-03-20,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-03-20,0.0
"Cumulative number of confirmed Ebola deaths",Spain,2015-03-20,0.0
"Cumulative number of probable Ebola deaths",Spain,2015-03-20,0.0
"Cumulative number of suspected Ebola deaths",Spain,2015-03-20,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-03-20,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2015-03-20,1.0
"Cumulative number of probable Ebola deaths","United States of America",2015-03-20,0.0
"Cumulative number of suspected Ebola deaths","United States of America",2015-03-20,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2015-03-20,1.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-23,3420.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-03-23,3007.0
"Cumulative number of probable Ebola cases",Guinea,2015-03-23,398.0
"Cumulative number of suspected Ebola cases",Guinea,2015-03-23,15.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-03-23,2261.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-03-23,1863.0
"Cumulative number of probable Ebola deaths",Guinea,2015-03-23,398.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-03-23,9593.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-03-23,3151.0
"Cumulative number of probable Ebola cases",Liberia,2015-03-23,1879.0
"Cumulative number of suspected Ebola cases",Liberia,2015-03-23,4563.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-03-23,4296.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-03-23,11829.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-03-23,8518.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-03-23,287.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-03-23,3024.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-03-23,3742.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-03-23,3376.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-03-23,208.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-03-23,158.0
"Cumulative number of confirmed Ebola cases","United Kingdom",2015-03-23,1.0
"Cumulative number of probable Ebola cases","United Kingdom",2015-03-23,0.0
"Cumulative number of suspected Ebola cases","United Kingdom",2015-03-23,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United Kingdom",2015-03-23,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United Kingdom",2015-03-23,1.0
"Cumulative number of confirmed Ebola cases",Mali,2015-03-23,7.0
"Cumulative number of probable Ebola cases",Mali,2015-03-23,1.0
"Cumulative number of suspected Ebola cases",Mali,2015-03-23,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2015-03-23,6.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2015-03-23,8.0
"Cumulative number of confirmed Ebola cases",Nigeria,2015-03-23,19.0
"Cumulative number of probable Ebola cases",Nigeria,2015-03-23,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2015-03-23,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2015-03-23,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2015-03-23,1.0
"Cumulative number of probable Ebola cases",Senegal,2015-03-23,0.0
"Cumulative number of suspected Ebola cases",Senegal,2015-03-23,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2015-03-23,1.0
"Cumulative number of confirmed Ebola cases",Spain,2015-03-23,1.0
"Cumulative number of probable Ebola cases",Spain,2015-03-23,0.0
"Cumulative number of suspected Ebola cases",Spain,2015-03-23,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2015-03-23,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2015-03-23,4.0
"Cumulative number of probable Ebola cases","United States of America",2015-03-23,0.0
"Cumulative number of suspected Ebola cases","United States of America",2015-03-23,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2015-03-23,4.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2015-03-23,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2015-03-23,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2015-03-23,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2015-03-23,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2015-03-23,0.0
"Cumulative number of probable Ebola deaths",Senegal,2015-03-23,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2015-03-23,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2015-03-23,0.0
"Cumulative number of confirmed Ebola deaths",Spain,2015-03-23,0.0
"Cumulative number of probable Ebola deaths",Spain,2015-03-23,0.0
"Cumulative number of suspected Ebola deaths",Spain,2015-03-23,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2015-03-23,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2015-03-23,1.0
"Cumulative number of probable Ebola deaths","United States of America",2015-03-23,0.0
"Cumulative number of suspected Ebola deaths","United States of America",2015-03-23,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2015-03-23,1.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2015-03-24,3429.0
"Cumulative number of confirmed Ebola cases",Guinea,2015-03-24,3011.0
"Cumulative number of probable Ebola cases",Guinea,2015-03-24,398.0
"Cumulative number of suspected Ebola cases",Guinea,2015-03-24,20.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2015-03-24,2263.0
"Cumulative number of confirmed Ebola deaths",Guinea,2015-03-24,1865.0
"Cumulative number of probable Ebola deaths",Guinea,2015-03-24,398.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2015-03-24,9602.0
"Cumulative number of confirmed Ebola cases",Liberia,2015-03-24,3151.0
"Cumulative number of probable Ebola cases",Liberia,2015-03-24,1879.0
"Cumulative number of suspected Ebola cases",Liberia,2015-03-24,4572.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2015-03-24,4301.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2015-03-24,11841.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2015-03-24,8520.0
"Cumulative number of probable Ebola cases","Sierra Leone",2015-03-24,287.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2015-03-24,3034.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2015-03-24,3747.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2015-03-24,3381.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2015-03-24,208.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2015-03-24,158.0
"Cumulative number of confirmed Ebola cases","United Kingdom",2015-03-24,1.0
"Cumulative number of probable Ebola cases","United Kingdom",2015-03-24,0.0
"Cumulative number of suspected Ebola cases","United Kingdom",2015-03-24,0.0
